Index,Database,ID,Type of interactions,Reference,Locality of Studi
209,Web of life,A_HP_046,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Turkmenistan
210,Web of life,A_HP_047,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Tyva
211,Web of life,A_HP_048,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Ural Valley
212,Web of life,A_HP_049,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Ussury
213,Web of life,A_HP_050,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Volga-Kama
214,Web of life,A_HP_051,Host-Parasite,"Hadfield JD, Krasnov BR, Poulin R, Shinichi N (2013) A tale of two phylogenies: comparative analyses of ecological interactions. The American Naturalist 183(2): 174-187",Western-Sayan
215,Web of life,A_PH_004,Plant-Herbivore,"Joern, A. 1979. Feeding patterns in grasshoppers (Orthoptera: Acrididae): factors influencing diet specialization. Oecologia 38: 325-347","Altuda, Trans-Pecos, Texas"
216,Web of life,A_PH_005,Plant-Herbivore,"Joern, A. 1979. Feeding patterns in grasshoppers (Orthoptera: Acrididae): factors influencing diet specialization. Oecologia 38: 325-347","Marathon, Trans-Pecos, Texas"
217,Web of life,A_PH_006,Plant-Herbivore,"Leather, S.R. 1991. Feeding specialisation and host distribution of British and Finnish Prunus feeding macrolepidoptera. OIKOS 60: 40-48.",Britain
218,Web of life,A_PH_007,Plant-Herbivore,"Leather, S.R. 1991. Feeding specialisation and host distribution of British and Finnish Prunus feeding macrolepidoptera. OIKOS 60: 40-48.",Finland
219,Web of life,M_PA_001,Plant-Ant,"Davidson, D.W., R.R. Snelling, and J.T. Longino. 1989. Competition among ants for myrmecophytes and the significance of plant trichomes. Biotropica 21: 64-73",Estacion Biologica de Cocha Cashu
220,Web of life,M_PA_002,Plant-Ant,"Davidson, D.W., and B.L. Fisher. 1991. Symbiosis of ants with Cecropia as a function of light regime. Pages 289-309 in C.R. Huxley and D.F. Cutler, eds., Ant-Plant Interactions. Oxford University Press, Oxford.","Madre de Dios, Peru"
221,Web of life,M_PA_003,Plant-Ant,"Fonseca, C.R., and G. Ganade. 1996. Asymmetries, compartments and null interactions in an Amazonian ant-plant community. Journal of Animal Ecology 66: 339-347.",Biological Dynamics of Forest Fragments Project
222,Web of life,M_PA_004,Plant-Ant,Bottom-up control and co-occurrence in complex communities: honeydew and nectar determine a rainforest ant mosaic. Oikos 106: 344-358,Australian Canopy Crane
223,Dryad,interactions_now.csv,Plant-Pollinator,"Burkle, L. A., Marlin, J. C., & Knight, T. M. (2013). Plant-pollinator interactions over 120 years: loss of species, co-occurrence, and function. Science, 339(6127), 1611-1615.",
224,Figshare,14-2006.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
225,Figshare,14-2007.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
226,Figshare,15-2006.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
227,Figshare,15-2007.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
228,Figshare,16-2006.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
229,Figshare,16-2007.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
230,Figshare,17-2006.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
231,Figshare,17-2007.txt,Buyer-Seller,"Hernandez, L., Vignes, A., & Saba, S. (2018). Trust or robustness? An ecological approach to the study of auction and bilateral markets. PloS one, 13(5), e0196206.",
